artist,title
Liz Phair,Soberish
Hildegard,Hildegard
Loraine James,Reflection
Militarie Gun,All Roads Lead To The Gun
Japanese Breakfast,Jubilee
Mustafa,When Smoke Rises
Moon Drenched,Moon Drenched
Mach,Hommy
Black Midi,Cavalcade
Storefront Church,As We Pass
Mdou Moctar,Afrique Victime
Panopticon,…and again into the light
Olivia Rodrigo,Sour
Fiddlehead,Between The Richness
Erika de Casier,Sensational
Sons Of Kemet,Black To The Future
Smol Data,Inconvenience Store
Big Jade,Pressure
ALLBLACK,TY4FWM
Undo K From Hot,G.A.S. Get A Star
Squid,Bright Green Field
Doss,4 New Hit Songs
Iceage,Seek Shelter
"Jack Ingram, Miranda Lambert, & Jon Randall",The Marfa Tapes
Cadence Weapon,Parallel World
Charlie Martin,Imaginary People
girl in red,if i could make it go quiet
Matt Sweeney & Bonnie 'Prince' Billy,Superwolves
Rata Negra,Una Vida Vulgar
Remember Sports,Like A Stone
Dinosaur Jr.,Sweep It Into Space
Plague Skater,Plague Skater II
The Armed,ULTRAPOP
Spirit Of The Beehive,"ENTERTAINMENT, DEATH"
Damon Locks & Black Monument Ensemble,NOW
Godspeed You Black Emperor,G_d's Pee AT STATE’S END!
Ryley Walker,Course In Fable
al Riggs,I Got A Big Electric Fan To Keep Me Cool While I Sleep
Tenue,Territorios
Civic,Future Forecast
Genghis Tron,Dream Weapon
Armand Hammer & The Alchemist,Haram
Noga Erez,KIDS
"Floating Points, Pharoah Sanders, & The London Symphony Orchestra",Promises
Benny The Butcher & Harry Fraud,The Plugs I Met 2
Parannoul,To See The Next Part Of The Dream
serpentwithfeet,DEACON
Godspeed You Black Emperor,G_d's Pee AT STATE'S END!
Enforced,Kill Grid
God's Hate,God's Hate
New Pagans,"The Seed, The Vessel, The Roots And All"
Harmony Woods,Graceful Rage
Really From,Really From
Closer,Within One Stem
Worn,Human Work
Regional Justice Center,Crime & Punishment
Home Is Where,I Became Birds
Arab Strap,As Days Get Dark
Bernice,Eau de Bonjourno
Duke Deuce,Duke Nukem
Cloud Nothings,The Shadow I Remember
Nervous Dater,Call In The Mess
Nick Cave & Warren Ellis,Carnage
Julien Baker,Little Oblivions
Wild Pink,A Billion Little Lights
Caution,Caution EP
Cassandra Jenkins,An Overview On Phenomenal Nature
For Your Health,In Spite Of
The Hold Steady,Open Door Policy
Katy Kirby,Cool Dry Place
Anika Pyle,Wild River
Slowthai,Tyron
The Staves,Good Woman
The Weather Station,Ignorance
