artist,title
Myriam Gendron,"Ma délire - Songs of love, lost & found"
Wiki,Half God
MC Solaar,Prose Combat
Illuminati Hotties,Let Me Do One More
John Prine,Fair & Square
Tirzah,Colourgrade
Pastor T. L. Barrett and the Youth for Christ Choir,I Shall Wear a Crown
Lewis Taylor,Lewis Taylor
Trashcan Sinatras,I've Seen Everything
Ozzy Osbourne,No More Tears
Laura Nyro,American Dreamer
The Meters,Look-Ka Py Py
Nala Sinephro,Space 1.8
Bobbie Gentry,The Delta Sweete
Low,Hey What
Space Afrika,Honest Labour
Erykah Badu,Baduizm
Indigo De Souza,Any Shape You Take
Mega Bog,"Life, and Another"
The Flaming Lips,The Soft Bulletin Companion
Annie Lennox,Diva
Alice Coltrane,Kirtan: Turiya Sings
Muse,Origin of Symmetry
Laurie Anderson,United States Live
Birds of Maya,Valdez
L'Rain,Fatigue
"Tyler, the Creator",Call Me If You Get Lost
Billy Joel,The Stranger
Faye Webster,I Know I'm Funny haha
MIKE,Disco!
Sinéad O'Connor,The Lion and the Cobra
Dean Blunt,Black Metal 2
Keith Rowe,Absence
A. R. Rahman,Bombay
“Blue” Gene Tyranny,Degrees of Freedom Found
Skee Mask,Pool
Anthony Joseph,The Rich Are Only Defeated When Running for Their Lives
Anaal Nathrakh,The Codex Necro
Jimmy Eat World,Clarity
Squarepusher,Feed Me Weird Things (25th Anniversary Edition)
Various Artists Billy Paul Harold Melvin & the Blue Notes The O' Jays Dick Jensen The Intruders MFSB,Get on Board the Soul Train: The Sound of Philadelphia International Records Vol. 1
3MB feat. Magic Juan Atkins,3MB feat. Magic Juan Atkins
Can,Live in Stuttgart 1975
black midi,Cavalcade
Mach-Hommy,Pray for Haiti
Sparks,No. 1 in Heaven
Mdou Moctar,Afrique Victime
Pet Shop Boys,Discovery: Live in Rio 1994
Fugees,The Score
Seefeel,Rupt and Flex (1994-96)
DJ Sprinkles,Gayest Tits & Greyest Shits: 1998-2017 12-inches & One-offs
Kohsuke Mine,First
Squid,Bright Green Field
The Flying Burrito Brothers,The Gilded Palace of Sin
Iceage,Seek Shelter
Jeff Rosenstock,SKA DREAM
Matt Sweeney Bonnie “Prince” Billy,Superwolves
Dawn Richard,Second Line: An Electro Revival
Joan Armatrading,Joan Armatrading
Arooj Aftab,Vulture Prince
Spiritualized,Lazer Guided Melodies
Sonny Sharrock,Ask the Ages
The Who,The Who Sell Out (Super Deluxe)
The Armed,ULTRAPOP
Vijay Iyer Linda May Han Oh Tyshawn Sorey,Uneasy
Home Is Where,I Became Birds
Lync,These Are Not Fall Colors
Haruomi Hosono,S·F·X
Haruomi Hosono,The Endless Talking
Haruomi Hosono,Paradise View
Haruomi Hosono,Mercuric Dance
Spirit of the Beehive,"ENTERTAINMENT, DEATH"
Godspeed You! Black Emperor,G_d's Pee AT STATE’S END!
Joyce Manor,Joyce Manor
Eve,Scorpion
Dry Cleaning,New Long Leg
Chris Corsano Bill Orcutt,Made Out of Sound
Lost Girls,Menneskekollektivet
